seal_id,words,encoding
476,Dhammacara Dhamma Rājā,50 0 1 1 3 1
477,Devānaṁpiya Lipi Pajā,2 2 4 4 5 3
478,Sādhu Kamma Nagara,6 2 7 7 9 4
479,Hita Niyama Yojanas,8 5 10 0 12 2
480,Magga Dānam Parisa,14 4 13 3 15 5
481,Dutā Arambha Māta-pitu,16 6 18 8 19 9
482,Gurū Bhaya Dhammalipi,20 0 21 8 23 1
483,Anussati Pūjā Samāja,24 4 25 5 28 8
484,Apāsanda Garbha Sabba,29 9 30 0 31 1
485,Ata Dukkha Vijaya,32 2 36 6 37 7
486,Kalinga Cikicchā Dīgha,38 8 39 9 41 1
487,Nāḷi Pānīya Dhammayāta,42 2 43 3 46 6
488,Anuloma Pātā Punnāta,47 7 48 8 49 9
489,Dhamma Devānaṁpiya Sādhu,1 1 2 2 6 2
490,Rājā Kamma Pajā,3 1 7 7 5 3
491,Lipi Hita Niyama,4 4 8 5 10 0
492,Nagara Jīva Magga,9 4 11 6 14 4
493,Yojanas Dānam Arambha,12 2 13 3 18 8
494,Vipassanā Dutā Gurū,17 0 16 6 20 0
495,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
496,Dhammalipi Anussati Pativedana,23 1 24 4 27 7
497,Samāja Apāsanda Lokahita,28 8 29 9 34 5
498,Garbha Bhūta Sukhā,30 0 33 3 35 5
499,Dukkha Vijaya Viharati,36 6 37 7 40 0
500,Kalinga Cikicchā Pānīya,38 8 39 9 43 3
501,Dīgha Nāḷi Rathiya,41 1 42 2 45 5
502,Nigrodha Pātā Dhammacara,44 4 48 8 50 0
503,Dhamma Rājā Lipi,1 1 3 1 4 4
504,Devānaṁpiya Pajā Kamma,2 2 5 3 7 7
505,Sādhu Hita Nagara,6 2 8 5 9 4
506,Niyama Jīva Yojanas,10 0 11 6 12 2
507,Magga Dānam Parisa,14 4 13 3 15 5
508,Dutā Arambha Gurū,16 6 18 8 20 0
509,Bhaya Sammati Dhammalipi,21 8 22 2 23 1
510,Anussati Pūjā Pativedana,24 4 25 5 27 7
511,Samāja Apāsanda Garbha,28 8 29 9 30 0
512,Sabba Ata Lokahita,31 1 32 2 34 5
513,Bhūta Sukhā Dukkha,33 3 35 5 36 6
514,Vijaya Kalinga Cikicchā,37 7 38 8 39 9
515,Viharati Dīgha Nāḷi,40 0 41 1 42 2
516,Pānīya Nigrodha Rathiya,43 3 44 4 45 5
517,Dhammayāta Anuloma Pātā,46 6 47 7 48 8
518,Dhamma Devānaṁpiya Kamma,1 1 2 2 7 7
519,Rājā Lipi Pajā,3 1 4 4 5 3
520,Sādhu Hita Niyama,6 2 8 5 10 0
